brand,model,category,size,storage,color,price,source,webpage,condition,date,article_number,reviews_count,rating,camera_MP,delivery_time
SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,1 TB,Titanium Grey,1599.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220714.html,new,2024-04-15,2220714,(888),4.7,200 MP,Auslieferung in 1-2 Werktagen
SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,128 GB,Awesome Iceblue,359.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237045.html,new,2024-04-15,2237045,(0),,50 MP,Auslieferung in 1-4 Werktagen
SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,128 GB,Awesome Lilac,359.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237047.html,new,2024-04-15,2237047,(0),,50 MP,Auslieferung in 1-4 Werktagen
XIAOMI,Redmi 13C ,Smartphone,6.74,256 GB,Clover Green,152.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219847.html,new,2024-04-15,2219847,(0),,50 MP,Auslieferung in bis zu 7 Werktagen
FAIRPHONE,5 5G ,Smartphone,6.46,256 GB,Matte Black,610.,mediamarkt,https://www.mediamarkt.ch/de/product/_fairphone-5-5g-2195005.html,new,2024-04-15,2195005,(4),4.3,50 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 14 Plus ,Smartphone,6.7,128 GB,Purple,729.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151042.html,new,2024-04-15,2151042,(7),5.0,12 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 14 Plus ,Smartphone,6.7,128 GB,Starlight,729.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151041.html,new,2024-04-15,2151041,(5),5.0,12 MP,Auslieferung in bis zu 7 Werktagen
APPLE,iPhone 14 Plus ,Smartphone,6.7,128 GB,Midnight,729.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151040.html,new,2024-04-15,2151040,(5),4.8,12 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 13 ,Smartphone,6.1,256 GB,Blue,642.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091358.html,new,2024-04-15,2091358,(11),5.0,12 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
XIAOMI,Redmi Note 13 Pro 4G ,Smartphone,6.67,256 GB,Midnight Black,296.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-4g-2220894.html,new,2024-04-15,2220894,(2),3.0,200 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
