brand,model,size,storage,color,rating,reviews_count,delivery_time,price,webpage,source,camera_MP,date
samsung,galaxy a54 5g,6.4,128 GB,awesome lime,4.4,320,2.0,347.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173979.html,mediamarkt,50.0,2024-04-15
apple,iphone 15,6.1,128 GB,green,5.0,3,2.0,719.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203375.html,mediamarkt,48.0,2024-04-15
apple,iphone 13,6.1,128 GB,blue,4.7,3,,525.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091439.html,mediamarkt,12.0,2024-04-15
apple,iphone 13,6.1,128 GB,pink,5.0,2,,525.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091433.html,mediamarkt,12.0,2024-04-15
nothing,phone (2a),6.7,128 GB,white,0.0,0,,329.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223932.html,mediamarkt,50.0,2024-04-15
apple,iphone 13,6.1,256 GB,starlight,4.8,6,6.0,629.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091353.html,mediamarkt,12.0,2024-04-15
samsung,galaxy s23,6.1,128 GB,phantom black,4.4,272,2.0,629.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167353.html,mediamarkt,50.0,2024-04-15
xiaomi,redmi note 13 pro+ 5g,6.67,512 GB,midnight black,5.0,4,6.0,413.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220879.html,mediamarkt,200.0,2024-04-15
apple,iphone 15 pro,6.1,128 GB,white titanium,4.9,10,2.0,929.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203404.html,mediamarkt,48.0,2024-04-15
apple,iphone 14,6.1,128 GB,blue,4.8,12,2.0,619.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151029.html,mediamarkt,12.0,2024-04-15
apple,iphone 15 pro max,6.7,512 GB,blue titanium,4.7,3,,1349.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203434.html,mediamarkt,48.0,2024-04-15
samsung,galaxy a55 5g,6.6,128 GB,awesome navy,0.0,0,4.0,429.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237050.html,mediamarkt,50.0,2024-04-15
samsung,galaxy a54 5g,6.4,256 GB,awesome white,4.4,318,2.0,339.7,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2177748.html,mediamarkt,50.0,2024-04-15
nothing,phone (2a),6.7,128 GB,black,0.0,0,,329.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223930.html,mediamarkt,50.0,2024-04-15
samsung,galaxy s24 ultra,6.8,256 GB,titanium black,4.7,882,2.0,1179.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220737.html,mediamarkt,200.0,2024-04-15
apple,iphone 11 (2020),6.1,128 GB,white,4.8,16,2.0,497.95,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028729.html,mediamarkt,12.0,2024-04-15
xiaomi,redmi note 13 5g,6.67,256 GB,graphite black,4.9,8,6.0,254.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-5g-2220891.html,mediamarkt,108.0,2024-04-15
apple,iphone 15,6.1,256 GB,green,5.0,1,2.0,819.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203381.html,mediamarkt,48.0,2024-04-15
samsung,galaxy s24+,6.7,256 GB,onyx black,4.5,210,,915.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220719.html,mediamarkt,50.0,2024-04-15
samsung,galaxy a55 5g,6.6,256 GB,awesome iceblue,0.0,0,2.0,479.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237093.html,mediamarkt,50.0,2024-04-15
